date,msol price,msol volume,msol marketCap
2024-11-12,261.6895071,31543395.36,1139317084
2024-11-11,274.8345915,25460071.77,1201421552
2024-11-10,248.7154889,10817657.54,1089148754
2024-11-09,248.3421792,12157987.23,1092227281
2024-11-08,246.1779944,13824549.87,1082161044
2024-11-07,240.4751307,20184548.74,1059938626
2024-11-06,233.3512354,24198700.22,1032291961
2024-11-05,205.2752042,9151577.99,906334981.9
2024-11-04,193.9430047,7816983.43,855490026.4
2024-11-03,199.9640301,9064099.6,882827201.1
2024-11-02,204.1249581,8747082.51,901688117.8
2024-11-01,204.4614346,16374486.54,898497754.5
2024-10-31,207.0422921,7583405.11,904838171.5
2024-10-30,215.0956666,19847021.56,939478505.3
2024-10-29,220.104752,14089836.7,960396931
2024-10-28,218.777353,16156415.61,947046562.7
2024-10-27,216.8878547,7887973.47,937155286.1
2024-10-26,209.7222534,12181239.35,906128799.6
2024-10-25,202.11649,58777758.61,871456497
2024-10-24,219.5544399,36003699.61,948774518.8
2024-10-23,209.7228783,37558537.75,890563874.9
2024-10-22,205.1709247,40827459.62,871709092.3
2024-10-21,204.2342989,64354416.85,867143296.4
2024-10-20,204.7053564,15705671.35,870281895.5
2024-10-19,195.8169774,17460647.03,830651736.2
2024-10-18,189.8887333,17903998.35,809654809.9
2024-10-17,184.1862396,15411449.54,786518895
2024-10-16,188.9441055,22062171.64,805941783.9
2024-10-15,189.5075929,16055375.48,811846548.2
2024-10-14,192.901137,17212355.2,826190157.2
2024-10-13,180.6678853,13813904.32,773617897.4
2024-10-12,179.4270133,16304276.94,768054734.8
2024-10-11,177.9093098,18151028.68,765875382.8
2024-10-10,169.9505071,25027911.63,733104455.6
2024-10-09,170.4424259,19106064.62,738488808
2024-10-08,175.0766364,9350333.96,751828202.3
2024-10-07,176.1040825,16559346.02,756764325.2
2024-10-06,178.945343,12285103.05,770329996.6
2024-10-05,174.4150694,13408552.89,750651587.3
2024-10-04,174.8934396,12588492.72,755005009.7
2024-10-03,167.2027466,21554581.6,723554670.3
2024-10-02,171.3996516,17481646.52,739935895.2
2024-10-01,177.3500348,11533979.97,769499455
2024-09-30,186.2602649,14772617.51,805516414.8
2024-09-29,193.6835626,10284821.03,839931236.7
2024-09-28,191.4402056,14528772.78,830585347.7
2024-09-27,192.3888143,12745602.63,837269963.2
2024-09-26,188.690644,12718535.05,820795432.7
2024-09-25,180.5344022,11076865.31,784079864.9
2024-09-24,186.4181765,14112074.94,760279848.5
2024-09-23,176.5773444,18417466.57,720845930.9
2024-09-22,176.5835709,8398032.16,722871158.2
2024-09-21,182.2256318,11811934.53,745477304.4
2024-09-20,178.561345,12354780.57,732535061.4
2024-09-19,173.9638464,14019435.2,717907738.7
2024-09-18,163.2574738,9579814.08,672249381.5
2024-09-17,160.2207027,9928750.66,659282556.5
2024-09-16,160.0804743,8523339.38,656508594.3
2024-09-15,160.0765151,10168512.23,655853491.9
2024-09-14,167.0029021,9359326.18,683322935.4
2024-09-13,169.3010613,20750391.35,692968882.6
2024-09-12,165.6687867,16922933.93,667526922.9
2024-09-11,161.0346892,8535543.92,653129806.7
2024-09-10,164.8515469,14161591.44,668843279.1
2024-09-09,164.0056885,12111190.3,669770694.9
2024-09-08,157.823353,22519765.13,642485139.4
2024-09-07,155.0995061,7518795.94,634795291.2
2024-09-06,151.7859454,10931523.03,620984990.1
2024-09-05,157.062976,12630618.14,642264905.7
2024-09-04,162.1905147,11654172.81,662913667.6
2024-09-03,154.8873613,12744116.59,633883960.8
2024-09-02,163.7284161,11649888.75,667027275.1
2024-09-01,156.3589831,10543584.51,636632173.9
2024-08-31,164.1283107,10505601.21,668017160.3
2024-08-30,167.5095987,11433110.46,680914625.6
2024-08-29,169.6612065,11736359.91,691492760
2024-08-28,174.5194499,13931338.98,711183686.9
2024-08-27,178.0724355,11841845.35,740613053.1
2024-08-26,190.6741556,10723104.51,791944703.1
2024-08-25,192.4863869,7909142.36,800744717
2024-08-24,194.7269113,12511777.61,809737199.2
2024-08-23,185.3733189,11112329.92,773055266.5
2024-08-22,173.5669759,10101064.56,723363283.1
2024-08-21,172.8064697,6539631.92,721806862.3
2024-08-20,173.3709065,13403437.08,724593648.3
2024-08-19,173.4807089,13600703.41,729340351
2024-08-18,172.5445157,15601994.73,724038198.8
2024-08-17,171.5061939,10745929.82,719702589.3
2024-08-16,168.4086402,10507120.82,709943800.4
2024-08-15,172.662389,26105043.88,725901172.5
2024-08-14,174.1135205,7624720.34,732758492.2
2024-08-13,177.4240677,12408436.02,744681458.2
2024-08-12,177.2769263,9167182.47,743943153.2
2024-08-11,171.077551,16339816.11,717712582.5
2024-08-10,185.8739688,8079821.61,792405078.3
2024-08-09,188.5888892,16807447.01,804178100.9
2024-08-08,196.711989,11652101.53,848665288.8
2024-08-07,174.515098,26571070.16,753531412.2
2024-08-06,173.6032534,25701796.07,757052713.2
