date,daily_fees,daily_revenue
2024-02-20,193537.0,6983.0
2024-02-21,191267.0,6901.0
2024-02-22,190056.0,6857.0
2024-02-23,185553.0,6695.0
2024-02-24,193928.0,6997.0
2024-02-25,192495.0,6945.0
2024-02-26,206732.0,7462.0
2024-02-27,203723.0,7358.0
2024-02-28,220804.0,7983.0
2024-02-29,249850.0,9034.0
2024-03-01,243976.0,8834.0
2024-03-02,244450.0,8851.0
2024-03-03,245565.0,8891.0
2024-03-04,246114.0,8980.0
2024-03-05,230803.0,8485.0
2024-03-06,260329.0,9571.0
2024-03-07,278424.0,10311.0
2024-03-08,281050.0,10409.0
2024-03-09,283139.0,10486.0
2024-03-10,265204.0,9932.0
2024-03-11,288610.0,10809.0
2024-03-12,285748.0,10817.0
2024-03-13,316586.0,11984.0
2024-03-14,308895.0,11797.0
2024-03-15,328893.0,12561.0
2024-03-16,345085.0,13248.0
2024-03-17,336889.0,12934.0
2024-03-18,381155.0,14738.0
2024-03-19,327413.0,12660.0
2024-03-20,361719.0,14047.0
2024-03-21,330085.0,12826.0
2024-03-22,327888.0,12780.0
2024-03-23,326386.0,12722.0
2024-03-24,341672.0,13352.0
2024-03-25,355970.0,13911.0
2024-03-26,355858.0,13906.0
2024-03-27,338644.0,13264.0
2024-03-28,351100.0,13752.0
2024-03-29,359644.0,14029.0
2024-03-30,364902.0,14234.0
2024-03-31,378383.0,14759.0
2024-04-01,354013.0,13809.0
2024-04-02,345467.0,13378.0
2024-04-03,344347.0,13335.0
2024-04-04,338635.0,13114.0
2024-04-05,328371.0,12622.0
2024-04-06,340631.0,13093.0
2024-04-07,332583.0,12784.0
2024-04-08,341294.0,13027.0
2024-04-09,328589.0,12446.0
2024-04-10,329545.0,12482.0
2024-04-11,331954.0,12573.0
2024-04-12,286656.0,10810.0
2024-04-13,262647.0,9904.0
2024-04-14,285091.0,10690.0
2024-04-15,264048.0,9901.0
2024-04-16,262108.0,9828.0
2024-04-17,254812.0,9518.0
2024-04-18,249658.0,9325.0
2024-04-19,273281.0,10167.0
2024-04-20,285418.0,10618.0
2024-04-21,281444.0,10425.0
2024-04-22,301537.0,11170.0
2024-04-23,297999.0,10999.0
2024-04-24,280049.0,10336.0
2024-04-25,275123.0,10154.0
2024-04-26,261614.0,9620.0
2024-04-27,274171.0,10081.0
2024-04-28,262951.0,9650.0
2024-04-29,260772.0,9570.0
2024-04-30,237961.0,8705.0
2024-05-01,245649.0,8986.0
2024-05-02,266247.0,9740.0
2024-05-03,269974.0,9857.0
2024-05-04,273810.0,9997.0
2024-05-05,276757.0,10073.0
2024-05-06,296617.0,10796.0
2024-05-07,281540.0,10221.0
2024-05-08,271237.0,9847.0
2024-05-09,288661.0,10479.0
2024-05-10,271442.0,9836.0
2024-05-11,274890.0,9961.0
2024-05-12,265471.0,9596.0
2024-05-13,275569.0,9947.0
2024-05-14,268315.0,9687.0
2024-05-15,302910.0,10936.0
2024-05-16,303487.0,10971.0
2024-05-17,328056.0,11860.0
2024-05-18,326812.0,11815.0
2024-05-19,323843.0,11738.0
