date,tvl_USD,SOL
8/26/2021,39118439.15,513297.9812
8/27/2021,45557061.32,516227.3238
8/28/2021,50227923.27,516854.5305
8/29/2021,47515897.42,505542.0515
8/30/2021,55931026.51,509761.452
8/31/2021,75790278.36,696986.1905
9/1/2021,81193992.3,731213.9076
9/2/2021,108202409.3,841845.5562
9/3/2021,128497608.5,878015.7741
9/4/2021,122787652.9,879126.891
9/5/2021,131281486.2,923671.8936
9/6/2021,160679006.7,990134.3769
9/7/2021,174873026.6,1004844.145
9/8/2021,249144349.7,1318503.121
9/9/2021,249142632.3,1324029.507
9/10/2021,320510203.8,1797690.301
9/11/2021,348013731.3,1953925.84
9/12/2021,374762454.2,2141866.915
9/13/2021,367819864.1,2171437.89
9/14/2021,353995162.9,2371985.814
9/15/2021,373837308.5,2374927.314
9/16/2021,371684912.4,2445617.268
9/17/2021,362288302.4,2444095.678
9/18/2021,416507124.2,2448025.886
9/19/2021,373462001.7,2447165.99
9/20/2021,333672040.3,2499228.824
9/21/2021,306417835.3,2484939.059
9/22/2021,368490708.6,2484597.86
9/23/2021,392329507.1,2610135.767
9/24/2021,355083804.1,2557503.631
9/25/2021,349770629.7,2552325.086
9/26/2021,350359870.2,2582251.402
9/27/2021,349101475.9,2563341.478
9/28/2021,332898165,2546650.589
9/29/2021,350326271.6,2589255.518
9/30/2021,378470576.9,2683998.134
10/1/2021,432492458.5,2682955.698
10/2/2021,461742831.4,2723182.54
10/3/2021,476226731.5,2754825.774
10/4/2021,459815338.2,2744674.615
10/5/2021,456627616.7,2767943.364
10/6/2021,456360812.9,2768339.781
10/7/2021,427139590,2771294.297
10/8/2021,441399003.4,2826762.75
10/9/2021,565314687.2,3548074.357
10/10/2021,556751619.6,3610815.355
10/11/2021,860595711,5774647.46
10/12/2021,846751607.1,5910593.376
10/13/2021,911423926.4,5937615.156
10/14/2021,861222192.8,5804166.281
10/15/2021,869901908.7,5863848.39
10/16/2021,1089425597,6798711.912
10/17/2021,1154737318,7269814.394
10/18/2021,1204720695,7448041.391
10/19/2021,1204287056,7720778.662
10/20/2021,1245399454,7958841.094
10/21/2021,1486815819,7989338.095
10/22/2021,1585762373,7937145.867
10/23/2021,1522373670,7727392.873
10/24/2021,1551244006,7823896.738
10/25/2021,1591989263,7841152.85
10/26/2021,1656407861,7793760.227
10/27/2021,1589651347,7798907.651
10/28/2021,1413445373,7706479.325
10/29/2021,1502409349,7474301.521
10/30/2021,1512159453,7585830.503
10/31/2021,1476627317,7546133.057
11/1/2021,1526872116,7524873.668
11/2/2021,1520534888,7460550.945
11/3/2021,1637198056,7408471.224
11/4/2021,1800534274,7394307.022
11/5/2021,1801378554,7393911.071
11/6/2021,1754903230,7316669.709
11/7/2021,1868957871,7327235.154
11/8/2021,1843287036,7417355.584
11/9/2021,1878988153,7501549.636
11/10/2021,1798421296,7510947.613
11/11/2021,1739620669,7443182.735
11/12/2021,1789871623,7570728.462
11/13/2021,1767299860,7605869.6
11/14/2021,1819806697,7589168.427
11/15/2021,1687717214,7085889.72
11/16/2021,1667187860,7109239.948
11/17/2021,1565603328,7132914.154
11/18/2021,1557374772,7137045.837
11/19/2021,1442832183,7161523.716
11/20/2021,1589413015,7189311.628
11/21/2021,1576980320,7218292.304
11/22/2021,1697393715,7257851.433
11/23/2021,1600951757,7268463.438
11/24/2021,1615883434,7277770.724
11/25/2021,1500594233,7304294.358
11/26/2021,1498403772,7157409.943
11/27/2021,1396536225,7196414.641
11/28/2021,1317374254,7043652.11
11/29/2021,1389679829,7040274.728
11/30/2021,1472276960,7203272.958
12/1/2021,1525624632,7244869.56
12/2/2021,1672104942,7279842.451
12/3/2021,1716533788,7350692.822
12/4/2021,1556131764,7302011.937
12/5/2021,1432562287,7284461.952
12/6/2021,1464326769,7487098.729
12/7/2021,1456438362,7501227.659
12/8/2021,1419085308,7492135.095
12/9/2021,1456662035,7505472.152
12/10/2021,1373167094,7545288.718
12/11/2021,1289168432,7585574.771
12/12/2021,1295974935,7613976.468
12/13/2021,1293769448,7661787.563
12/14/2021,1215321817,7735975.922
12/15/2021,1240055534,7765392.535
12/16/2021,1386052681,7793818.495
12/17/2021,1357833983,7672245.353
12/18/2021,1370131466,7795911.612
12/19/2021,1427073203,7794806.656
12/20/2021,1406079796,7787758.493
12/21/2021,1345132070,7769042.8
12/22/2021,1419312779,7911442.468
12/23/2021,1406226004,7902809.956
12/24/2021,1518617386,7931773.666
12/25/2021,1527861366,7870300.139
12/26/2021,1531493898,7915106.196
12/27/2021,1570162142,7925708.658
12/28/2021,1541106922,7963142.263
12/29/2021,1432232066,7993704.672
12/30/2021,1380680274,8008121.771
12/31/2021,1389810854,8065758.538
1/1/2022,1383770154,8096773.045
1/2/2022,1455609407,8114217.107
1/3/2022,1459147250,8271340.909
1/4/2022,1385459254,8185874.471
1/5/2022,1385797698,8205327.122
1/6/2022,1287850697,8319986.413
1/7/2022,1208523415,8222925.868
1/8/2022,1072555604,7845376.623
1/9/2022,1182224572,8209322.77
1/10/2022,1148487805,8187693.768
1/11/2022,1108577041,8166313.381
1/12/2022,1082518218,7728408.784
1/13/2022,1171232255,7750345.788
1/14/2022,1105800228,7510699.098
1/15/2022,1093581671,7477481.512
1/16/2022,1105539256,7492641.517
1/17/2022,1099831505,7440343.019
1/18/2022,1063548566,7518901.139
1/19/2022,1066115164,7583150.751
1/20/2022,1008016316,7404806.551
1/21/2022,981254813.8,7602501.075
1/22/2022,828172469.5,7414256.665
1/23/2022,699104525.4,7172509.751
1/24/2022,680205044.1,7294424.066
1/25/2022,659999608.1,7317068.826
1/26/2022,684525111.7,7163301.713
1/27/2022,668872229,7251433.532
1/28/2022,645903470.4,7250010.892
1/29/2022,664668521.8,7166237.432
1/30/2022,692426190.7,7190303.122
1/31/2022,656028846.1,7179915.137
2/1/2022,721877899.2,7180721.17
2/2/2022,793729561.2,7196750.034
2/3/2022,707874365.6,6954945.624
2/4/2022,705511607,6976284.061
2/5/2022,778730591.2,6948608.826
2/6/2022,793301130.6,6927184.165
