date,sol price,sol volume,sol marketCap
2024-11-12,212.2318091,11308516682,100142981142.99
2024-11-11,222.6416731,10290809023,105070241080.14
2024-11-10,210.6137296,8564655765,99334998768.58
2024-11-09,200.1949112,3363617004,94424338652.73
2024-11-08,199.9390104,5673142495,94306649563.89
2024-11-07,196.3345907,4700842780,92585086179.01
2024-11-06,186.9547881,9822932731,88058563960.61
2024-11-05,166.7224014,3243848057,78511122753.24
2024-11-04,157.7471053,2809006700,74286136208.33
2024-11-03,162.5512973,2645801646,76531617920.46
2024-11-02,166.0103488,1618170398,78161516157.40
2024-11-01,166.2621267,3157093060,78282380191.80
2024-10-31,168.4299949,2652620406,79226864991.17
2024-10-30,174.924978,2772422773,82280136099.12
2024-10-29,179.3607484,3919545873,84346383406.20
2024-10-28,178.1049104,3623055701,83758559728.48
2024-10-27,176.5491896,2427933420,83010872581.09
2024-10-26,170.7059572,2755373492,80264154878.61
2024-10-25,164.7568931,4869966180,77465876123.89
2024-10-24,177.1569404,3529481044,83280052149.31
2024-10-23,170.9324925,3861697575,80357899591.68
2024-10-22,167.2601457,3470792372,78613008012.25
2024-10-21,166.2168659,3924173188,78125545441.59
2024-10-20,166.9398161,2579198899,78447764539.42
2024-10-19,159.6393589,1440375026,75019971193.13
2024-10-18,154.975936,1754226839,72830003198.78
2024-10-17,150.3160235,2157747733,70626579002.70
2024-10-16,154.234226,2397546608,72469382784.64
2024-10-15,154.7206303,3451652506,72679095651.39
2024-10-14,157.4451336,2929339176,73960299178.43
2024-10-13,147.5724387,1294444111,69305184981.96
2024-10-12,146.50029,1118630507,68802612898.99
2024-10-11,145.381143,1797846253,68279615697.49
2024-10-10,138.8884069,1770157917,65188822118.14
2024-10-09,139.3155389,1697499287,65390312618.67
2024-10-08,143.3944278,1710617951,67289754475.31
2024-10-07,143.9917949,2678803498,67570159832.25
2024-10-06,146.4423702,1168715645,68621427919.74
2024-10-05,142.7117389,1113937760,66873896464.31
2024-10-04,143.1722729,2361841303,67073547889.54
2024-10-03,136.7851922,2914986844,64082066300.70
2024-10-02,140.3855566,2892264150,65770157365.72
2024-10-01,145.2898891,3656164855,68050751749.64
2024-09-30,152.6184652,2376780676,71458468214.48
2024-09-29,158.6291631,1773980028,74387860148.05
2024-09-28,156.9124268,1300870644,73582521743.00
2024-09-27,157.7499343,2765830721,73957442422.92
2024-09-26,155.5761011,3009969111,72939004095.03
2024-09-25,148.0234294,2138602628,69381169451.30
2024-09-24,152.892154,2927238360,71664315406.19
2024-09-23,144.8149916,2344229720,67879454373.62
2024-09-22,144.8036532,1597826979,67855579263.71
2024-09-21,149.5270317,1385610390,70069507313.50
2024-09-20,146.5667989,3241123621,68665047099.56
2024-09-19,142.8362677,2884543933,66916768474.73
2024-09-18,133.991847,2260675347,62757458680.86
2024-09-17,131.5370817,1726861492,61608060607.74
2024-09-16,131.4725915,1623218789,61558795172.44
2024-09-15,131.4993882,1358403273,61571695450.60
2024-09-14,137.179784,952465287.9,64215329142.04
2024-09-13,139.1005472,1668690414,65115750626.56
2024-09-12,136.1419107,1597055803,63704832621.78
2024-09-11,132.4973887,2122617674,61999701717.22
2024-09-10,135.6352182,1642358500,63444412706.42
2024-09-09,135.025623,2443769044,63143700244.45
2024-09-08,129.9895158,1317794291,60788641467.58
2024-09-07,127.7215689,1321261949,59713096251.42
2024-09-06,124.9900751,3520537699,58366039241.12
2024-09-05,129.3289512,1926178088,60376926824.46
2024-09-04,133.6039184,2663812153,62368835150.66
2024-09-03,127.5775852,1787700523,59540486915.56
2024-09-02,135.0023603,2092221241,63005878355.92
2024-09-01,128.6905544,1974170865,60044986646.12
2024-08-31,135.3742588,892155699.2,63146076856.64
2024-08-30,138.0999966,2683385690,64391712810.93
2024-08-29,140.0540258,2098251665,65302849764.46
2024-08-28,143.8913866,2932401182,67092765795.98
2024-08-27,146.8970956,2783392784,68476945290.70
2024-08-26,157.2368788,2588808155,73297590220.39
2024-08-25,158.9091253,2085078554,74059730780.65
2024-08-24,160.7317438,2749419604,74908504760.08
2024-08-23,153.1070846,2560976300,71336941084.43
2024-08-22,143.2579298,1368400829,66746734420.74
2024-08-21,142.7096112,1923259439,66564907034.83
2024-08-20,143.1677367,2124392770,66777920513.07
2024-08-19,144.3436922,2077549615,67295621713.75
2024-08-18,142.5868822,1866239536,66475110938.91
2024-08-17,141.7985026,1199702073,66107562253.85
2024-08-16,139.330564,2707615564,64947397201.90
2024-08-15,142.745812,3032770371,66637385588.22
2024-08-14,143.9234652,2714536693,67188341952.90
2024-08-13,146.7126977,2224488388,68491903920.20
2024-08-12,146.4542413,3380174341,68354642037.72
2024-08-11,141.526853,2411765937,66058032038.88
2024-08-10,153.959166,1662980960,71814551428.47
2024-08-09,156.4572214,3217916997,72979939448.85
2024-08-08,162.9307453,5385642745,75981210094.76
2024-08-07,144.6320998,5529725414,67449223081.65
2024-08-06,144.0903685,5813459735,67100013678.46
2024-08-05,129.8642996,14114308949,60462519125.47
2024-08-04,138.0550835,4333596296,64260062822.75
2024-08-03,142.9220023,3620526646,66513581977.59
2024-08-02,152.6382267,4507521137,71016189250.86
2024-08-01,167.6721213,4402828194,78006252308.34
2024-07-31,171.8261567,3055204208,79919194001.38
2024-07-30,179.1071945,2766172800,83252664965.63
2024-07-29,182.7806006,3654304391,84956928709.44
2024-07-28,184.8860789,1852374783,85918799309.86
2024-07-27,184.0854046,3248901126,85548816871.93
2024-07-26,183.1367135,2816314095,85087553868.59
2024-07-25,171.9630805,4067186719,79896509537.33
2024-07-24,178.0322984,3112174836,82694844904.37
2024-07-23,172.7575696,3230351478,80246884732.55
2024-07-22,178.9782855,2808509242,83136223897.47
2024-07-21,184.5416092,3080452915,85691896425.90
2024-07-20,173.8917905,1908476088,80747106789.80
2024-07-19,169.1858732,3617009839,78545985950.00
2024-07-18,159.0724218,2044591406,73852862860.87
2024-07-17,155.5840999,2255652667,72215582287.50
2024-07-16,160.5518767,3034234774,74524644375.66
2024-07-15,159.9339703,2580623500,74220216539.07
2024-07-14,147.6223179,2009294488,68505448232.07
2024-07-13,141.9249728,1131518484,65862711164.67
2024-07-12,139.5280131,1990173458,64734373047.03
2024-07-11,135.8832263,2286890972,63044268449.09
2024-07-10,141.9747976,1952272010,65829357256.55
2024-07-09,141.3484539,2418798702,65537468013.38
2024-07-08,139.4637043,3692404575,64646919566.86
2024-07-07,131.7740977,1842515124,61083183722.35
2024-07-06,143.2411729,2078535871,66320299709.13
2024-07-05,134.3693427,4644036182,62197196003.43
2024-07-04,127.5508229,3243822145,59041357959.26
2024-07-03,140.7314159,2813419415,65126155301.37
2024-07-02,153.7004816,2024773533,71128871115.97
2024-07-01,146.5950648,1814659116,67824193216.32
2024-06-30,146.4924977,1567841881,67754180754.10
2024-06-29,140.0101495,1139066175,64751313558.76
2024-06-28,139.7034025,2396070692,64591177828.11
2024-06-27,149.4483748,2831651846,69097889910.92
2024-06-26,136.6091531,1670038554,63146576878.44
2024-06-25,136.5591976,2517391150,63124626804.31
2024-06-24,132.2413923,3420423301,61113437383.95
2024-06-23,128.5904268,1063910411,59426910196.83
2024-06-22,133.6702446,948392979.5,61755643846.70
2024-06-21,134.5882979,2214701928,62180434898.68
2024-06-20,133.4729589,2343938226,61666371309.37
2024-06-19,135.6095992,2241396569,62638032857.66
2024-06-18,137.504002,4046511952,63514126393.22
2024-06-17,143.334274,2244770232,66191148891.43
2024-06-16,151.1255055,1147997523,69790883511.71
2024-06-15,145.4122127,1065293341,67135628936.05
2024-06-14,143.0944439,2330458883,66063660586.18
2024-06-13,147.3144175,2085097655,67991620183.62
2024-06-12,155.1775714,2853692260,71622233955.58
2024-06-11,149.4289933,2812642453,68878680459.16
2024-06-10,158.92803,1815361482,73230549879.66
2024-06-09,162.0835976,1475878151,74686342403.05
2024-06-08,157.9689085,1722237785,72755220354.27
2024-06-07,162.5070418,3298527575,74847158591.80
2024-06-06,170.0162242,1965442993,78192167337.20
2024-06-05,173.4829154,2405906612,79788482654.49
2024-06-04,171.8019205,2057558426,78995382868.04
2024-06-03,164.9234645,2182487608,75832425371.39
2024-06-02,163.2499076,1562269041,75044190328.88
2024-06-01,166.0306757,1058869941,76322878066.52
2024-05-31,165.6377103,2415920333,76097773563.92
2024-05-30,166.9765379,2932316784,76744933958.32
2024-05-29,168.0726767,2852496248,77250412381.11
2024-05-28,168.6508409,3342283019,77496700584.34
2024-05-27,169.9961448,2745440475,76416188372.82
2024-05-26,163.3509089,2543881488,73410229629.36
2024-05-25,168.4376399,1875205755,75697208304.93
2024-05-24,167.7969266,4013502065,75389730984.57
2024-05-23,175.9857778,5117258940,79070139294.69
2024-05-22,176.8607812,3833758536,79437309085.43
2024-05-21,178.1161569,4568414163,80000969543.29
2024-05-20,186.5204897,4636864705,83768041175.26
2024-05-19,170.0913547,2300080451,76356164592.96
2024-05-18,172.5391323,2479657643,77455466322.44
2024-05-17,169.5305535,3371355809,76085268448.34
2024-05-16,159.1164512,3498272951,71406799641.64
2024-05-15,158.1868227,3585715674,70971387522.51
2024-05-14,142.030396,2586166419,63721775589.31
2024-05-13,147.2823271,2556255769,66060925602.41
2024-05-12,143.5208156,936690341.2,64374674547.70
2024-05-11,145.3143723,1243751505,65162205130.09
2024-05-10,146.2169096,2471594251,65542239882.23
2024-05-09,152.8499498,2249863780,68516742032.57
2024-05-08,142.2947344,2502237557,63761642429.19
2024-05-07,148.1343209,2687619013,66379410042.49
2024-05-06,152.8023971,2926902880,68370915818.79
2024-05-05,145.7130281,2034794725,65197416097.08
2024-05-04,146.1350633,3050187811,65369829237.21
2024-05-03,143.7725599,3216962298,64313630229.63
2024-05-02,137.8144855,3380078368,61649393246.12
2024-05-01,134.6279756,4136407963,60206144227.88
2024-04-30,126.9627085,3407320371,56808238321.18
2024-04-29,137.7766604,2464951751,61623649856.61
